Snelheidscamera's met lus,,,,,
Provincie,Gemeente,Nr weg,Straatnaam,kmpt,Wegnr/ Richting
Vlaams-Brabant,Haacht,N21,Stationsstraat,22.95,N21 richting Haacht
Vlaams-Brabant,Leuven,N251,Naamsesteenweg,1.6,N251 richting Leuven
Vlaams-Brabant,Leuven,N3,,27.1,N3 richting Leuven
Vlaams-Brabant,Leuven,R23,Diestsevest,1.568,R23 richting buitenring
Vlaams-Brabant,Leuven,R23,Diestsevest,1.568,R23 richting binnenring
Vlaams-Brabant,Leuven,R23,Geldenaaksevest,3.25,R23 richting Naamse poort
Vlaams-Brabant,Leuven,R23,Geldenaaksevest,3.218,R23 richting Tiensepoort
Vlaams-Brabant,Leuven,R23,Ruelensvest,3.852,R23 richting Parkpoort
Vlaams-Brabant,Leuven,R23,Tervuursevest,5.17,R23 richting Buitenring
Vlaams-Brabant,Leuven,R23,Tervuursevest,5.17,R23 richting Binnenring
Vlaams-Brabant,Leuven,R23,Tervuursevest,4.4,R23 richting Tervuurse Poort
Vlaams-Brabant,Rotselaar,E314,,74.1,E314 richting Leuven
Vlaams-Brabant,Rotselaar,N298,,2.4,N298 richting Holsbeek
Vlaams-Brabant,Rotselaar,N298,,2.4,N298 richting Werchter
Vlaams-Brabant,Schepdaal,N8,Ninoofsesteenweg,8.495,N8 richting Ninove
Vlaams-Brabant,Schepdaal,N8,Ninoofsesteenweg,8.495,N8 richting Brussel
Vlaams-Brabant,Tienen,E40,,38.5,E40 richting Luik
Vlaams-Brabant,Tienen,N223,,19.8,N223 richting Tienen
Vlaams-Brabant,Tienen,N3,Kabbeekvest,43.22,N3 richting Buitenring
Vlaams-Brabant,Tienen,N3,Kabbeekvest,43.22,N3 richting Binnenring
Vlaams-Brabant,Wemmel,R0,,43.05,R0 buitenring
Vlaams-Brabant,Wezembeek-Oppem,R0,,27.95,
Vlaams-Brabant,Zaventem,R0,,30.125,R0 buitenring
Oost-Vlaanderen,Dendermonde,N 47,Heirbaan,11.5,Richting Centrum
Oost-Vlaanderen,Dendermonde,N 47,Martelarenlaan,14.492,Richting Lokeren
Oost-Vlaanderen,Dendermonde,N 47,Martelarenlaan,14.492,Richting centrum
Oost-Vlaanderen,Dendermonde,N 47,Martelarenlaan,17,Richting centrum
Oost-Vlaanderen,Geraardsbergen,N 42,Grote Weg,27.195,RichtingOverboelare
Oost-Vlaanderen,Geraardsbergen,N 42,Grote Weg,27.585,thv huisnr 211
Oost-Vlaanderen,Gent,N 456,New-Orleansstraat,1.41,Richting R4
Oost-Vlaanderen,Gent,N 456,New-Orleansstraat,1.46,Goedendagstraat
Oost-Vlaanderen,Gent,N 9,,54.2,Richting Gent
Oost-Vlaanderen,Melle,E 40,,39.3,Richting Brussel
Oost-Vlaanderen,Melle,E 40,,39.3,Richting Oostende
Oost-Vlaanderen,De Pinte,E 17,,45,Richting Kortrijk
Oost-Vlaanderen,De Pinte,E 17,,45,Richting Antwerpen
Oost-Vlaanderen,Zwijnaarde,E 40,,45,Richting Oostende
Oost-Vlaanderen,Zwijnaarde,E 40,,45,Richting Brussel
Oost-Vlaanderen,Ninove,N 8,,20,Richting Brussel
Oost-Vlaanderen,Ninove,N 8,,19.1,Richrting Ninove
Oost-Vlaanderen,Lochristi,N 449,,11.78,Richting N70
Oost-Vlaanderen,Lochristi,N 449,,12.1,Richting E40
Oost-Vlaanderen,Gent,R 40,,10.25,Richting Drongen
Oost-Vlaanderen,Herzele,N 8,,31.35,Richting Oudenaarde
Oost-Vlaanderen,Herzele,N 42b,,0.2,Richting Zottegem
Oost-Vlaanderen,Maarkedal,N 60,,30.44,Richting Gent
Oost-Vlaanderen,Maarkedal,N 60,,30.29,Richting Ronse
Oost-Vlaanderen,Ronse,N 60b,Leuzensesteenweg,4.7,Richting Ronse
Oost-Vlaanderen,Temse,N 16,,,Richting Bornem
Oost-Vlaanderen,Wetteren,N 9,,42.2,Richting Aalst
Oost-Vlaanderen,Wetteren,N 9,,41.6,Richting Gent
Oost-Vlaanderen,Gentbrugge,E 17,Middenberm,53.7,Richting Gent
,, ,Pechstrook,,
Oost-Vlaanderen,Gentbrugge,E 17,Middenberm,53.7,Richting Antwerpen
,, ,Pechstrook,,
Oost-Vlaanderen,Gentbrugge,E 17,Middenberm,52.89,Richting Antwerpen
,, ,Pechstrook,,
Oost-Vlaanderen,Gentbrugge,E 17,Middenberm,52.89,Richting Gent
,, ,Pechstrook,,
West-Vlaanderen,Spiere,N 512,Jacquetbosstraat,0.57,RichtingHelkijn
West-Vlaanderen,Helkijn,N 353,Avelgemstraat,6.4,RichtingAvelgemstraat
West-Vlaanderen,Zeebrugge,N 34,,8.641,Richting Knokke
West-Vlaanderen,Zeebrugge,N 34,,8.615,Richting Blankenberge
West-Vlaanderen,Diksmuide,N 35,Kaaskerkestraat,22.518,Richting Diksmuide
West-Vlaanderen,Diksmuide,N 369,Woumeweg,20.5,Richting Diksmuide
West-Vlaanderen,Houthulst,N 369,Iepersesteenweg,12.45,Richting Ieper
West-Vlaanderen,Koksijde,N 396,, ,Hostenstraat 
West-Vlaanderen,Kortrijk,E 17,,8,richting Gent
West-Vlaanderen,Kortrijk,N 50,Doorniksesteenweg,60.22,
West-Vlaanderen,Kortrijk,N 43,,"45,1??",
West-Vlaanderen,Kortemark,N 35,,36.6,Richting Diksmuide
West-Vlaanderen,Kortemark,N 35,,34.8,Richting Lichtervelde
West-Vlaanderen,Kortemark,N 35,,36.4,Richting Lichtervelde
West-Vlaanderen,Torhout,N 35,,,Richting Diksmuide
West-Vlaanderen,Torhout,N 35,,,Richting Lichtervelde
West-Vlaanderen,Staden,N 36,,5.15,richting Zarren
West-Vlaanderen,Zwevegem,N 8,,75.655,richting Zwevegem
West-Vlaanderen,Zwevegem,N 8,,76.84,richting Avelgem
West-Vlaanderen,Oostende,N 318,nieuwpoorstestwg,2.66,Mariakerkelaan Richting Oostende
,,,,,
,,,,,
Legende,,,,,
Provincie,Provincienaam,,,,
Gemeente,Gemeentenaam,,,,
Nr weg,Nummer weg,,,,
Straatnaam,Straatnaam,,,,
kmpt,Kilometerpunt,,,,
Wegnr/ Richting,Nummer weg / richting,,,,
