Roodlichtcamera's,,,,,,,
Provincie,Gemeente,Nr_1e_Weg,Kmpt_1ste_weg,Straatnaam_1e_weg,Nr_2e_Weg,Straatnaam_2e_weg,Aantal flitspalen
Antwerpen,Mechelen,R12,0.7,Olivetenvest / K.Astridlaan,N16a,Battelsesteenweg / Adegemstraat,4
Antwerpen,Mechelen,R12,1.5,,N227,,2
Antwerpen,Mechelen,R12,2.14,Schuttersvest / Egmondstraat  /Conscience,N1,Kardinaal Mercierplein,3
Antwerpen,Mechelen,R12,3.9,Tinellaan,N14,Liersesteenweg / Zwartzustervest / F. De Merodestraat,2
Antwerpen,Mechelen,R6,1.9,Noordelijke Ring,N1,Antwerpsesteenweg,2
Antwerpen,Mol,N103,4.1,Rozenberg,,Kloosterstraat / Voogdijstr,2
Antwerpen,Mol,N136,4.9,Postelsesteenweg,N712,Kiezelweg,2
Antwerpen,Mol,N71,8.5,Zuiderring,N110,Borgerhoutsedijk,4
Antwerpen,Mol,N71,12.4,Zuiderring,,Toemaathoek,2
Antwerpen,Mol,N71,15.36,Zuiderring,N136,Postelsesteenweg,4
Antwerpen,Puurs,N16,15.3,Rijksweg,,Kleine Amer,2
Antwerpen,Puurs,N16,16,Rijksweg,,Eikevlietbaan,2
Antwerpen,Schoten,N115,2.5,Ridder Walter van Havrelaan,,Borkelstraat,2
Antwerpen,Sint-Katelijne-Waver,R6,3.2,,N14,Liersesteenweg,4
Antwerpen,Turnhout,R13,1.9,,,Steenweg op Tielen,2
Antwerpen,Turnhout,R13,2.4,,N19,,4
Antwerpen,Turnhout,R13,4.15,,N18,,4
Antwerpen,Westerlo,N19,0,,,Bistplein,2
Antwerpen,Westerlo,N19,28.71,Merodedreef,,Boerenkrijglaan,2
Antwerpen,Wijnegem,N12,7.17,Houtlaan,N120,Merksemsebaan,5
Antwerpen,Wijnegem,N12,9.45,Houtlaan,,'s Gravenwezelsesteenweg,2
Antwerpen,Willebroek,A12,17.4,Koning Leopoldlaan,,Breendonkstraat,4
Antwerpen,Wilrijk,A12,30.49,Boomsesteenweg,,Atomiumlaan / Terbekehofdreef,2
Antwerpen,Wuustwezel,N1,65.3,Bredabaan,N133,Dorpstraat,2
Limburg,Alken,N80,4.95,Expressweg,,Meerdegatstraat,4
Limburg,Alken,N80,8.88,Expressweg,,Bisschopweyerstraat / Wolfstraat,4
Limburg,As,N75,17.6,Europalaan,N730,Bilzerweg,2
Limburg,As,N75,20.44,Europalaan,N763,Weg naar As,2
Limburg,Beringen,N29,87.45,Paalsesteenweg,N72,Kasteletsingel,4
Limburg,Beringen,N72,13.94,Kasteletsingel,,Nijverheidsstraat,2
Limburg,Beringen,N72,17.22,Koolmijnlaan,,Beverlosesteenweg / Leysestraat,2
Limburg,Diepenbeek,N76,13.6,Nieuwstraat,N2,Grendelbaan,2
Limburg,Diepenbeek,N76,15.91,Nieuwstraat,,Pastorijstraat / Lutselusplein,2
Limburg,Dilsen-Stokkem,N78,26.5,Rijksweg,N771,Europalaan,2
